loc_name,muni,address,prov
Soo Cannabis Ssm,Sault Ste. Marie,317 Northern Ave E,Ontario
Purple Meadow Cannabis,Ottawa,366 Rideau St,Ontario
Friendly Stranger,Toronto,501 Church St Unit 4B,Ontario
The Gym Cannabis,Hamilton,135 James St N,Ontario
Offside Cannabis,Niagara Falls,6474 Lundy'S Lane,Ontario
Sparq Retail,Peterborough,340 Charlotte St,Ontario
Canna Cabana,Waterloo,32 King St S,Ontario
Purple Circle Cannabis,Toronto,21A Carlton St,Ontario
Highlife Yonge And Steeles,North York,6375 Yonge St,Ontario
True North Cannabis Company,Niagara Falls,4695 Queen St,Ontario
Shinybud Cannabis Co. 3000 Richelieu St.,Rockland,3000 Richelieu St Unit 3,Ontario
Sessions Cannabis Collingwood,Collingwood,312 Hurontario St,Ontario
10 Dunlop,St Catharines,10 Dunlop Dr Unit G,Ontario
Ameri,Etobicoke,3683 Lake Shore Blvd W,Ontario
Edibles Hub,Scarborough,483 Kennedy Rd,Ontario
Purple Meadow Cannabis,Gloucester,2059 Meadowbrook Rd,Ontario
Alpha Cannabis,Aurora,118 Wellington St E,Ontario
The Haze Co.,Hamilton,969 Upper Ottawa St Unit 6,Ontario
The Peace Pipe,Peterborough,408 George St N,Ontario
Cannabis Jack'S,Sault Ste. Marie,518 Great Northern Rd Unit 1,Ontario
T.O. Smokes,Scarborough,2432 Eglinton Ave E,Ontario
Miss Jones,Barrie,279 Yonge St Unit 1,Ontario
True North Cannabis Co. ,North Bay,1720 Algonquin Ave,Ontario
Lemonnade ,Hamilton,792 Concession St,Ontario
Jane'S Cannabis Shop,Aurora,160 Wellington St E Unit 3,Ontario
Canja ,Guelph,83 Surrey St E,Ontario
Budders,York,3466 Dundas St W Unit 1,Ontario
Kush Nation,North York,4801 Steeles Ave W Unit 7,Ontario
Toke Cannabis,York,1554 Eglinton Ave W,Ontario
The Cannabist Shop,Kitchener,1283 Victoria St N,Ontario
The Den Cannabis Store,Orillia,660 Atherley Rd Suite 5,Ontario
Tokyo Smoke 1082 Memorial ,Thunder Bay,1082 Memorial Ave,Ontario
Tokyo Smoke 1303 Queen St E,Toronto,1303 Queen St E,Ontario
Relm Cannabis Co.,Hamilton,148 Ottawa St N,Ontario
One Plant Stouffville,Stouffville,5779 Main St Unit 105,Ontario
On The Ridge Co. Cannabis,Niagara Falls,6915 Lundy'S Lane,Ontario
Value Buds,Toronto,728 Queen St E,Ontario
Fire & Flower Cannabis Co. ,Toronto,433 Spadina Ave,Ontario
Kia Ora Kannabis,Thunder Bay,236 Red River Rd,Ontario
Speak Easy Cannabis,Cambridge,561 Hespeler Rd Unit 14,Ontario
Trees Cannabis ,Georgetown,232A Guelph St Unit 8,Ontario
Canvas Cannabis,Toronto,730 Danforth Ave Suite 1,Ontario
Trees Cannabis,St Catharines,395 Ontario St Suite B2,Ontario
The House Of Cannabis,Kingston,208 Division St,Ontario
Growers Retail,Scarborough,2002 Lawrence Ave E,Ontario
Yield Cannabis Co.,Oshawa,944 Simcoe St N,Ontario
Trees Cannabis,Etobicoke,680 Rexdale Blvd Unit 5,Ontario
Tokyo Smoke ,Burlington,4517 Dundas St Suite B5,Ontario
Growers Retail,Peterborough,225 George St N,Ontario
Friendly Stranger,Midland,542 Bay St,Ontario
Trees Cannabis,Etobicoke,5485 Dundas St W,Ontario
Highties Cannabis Store,Ottawa,484 Rideau St,Ontario
One Plant St Thomas,St Thomas,945 Talbot St,Ontario
Hot Buds,Toronto,25 Kensington Ave,Ontario
One Plant Tecumseh Road,Windsor,7555 Tecumseh Rd E,Ontario
The Green Closet,Toronto,439 Parliament St,Ontario
Malibu Munchies ,Toronto,1044 Bathurst St,Ontario
Treetz,Collingwood,280 First St,Ontario
Cannabis Street,York,1982 Eglinton Ave W,Ontario
Highlife Ancaster,Ancaster,1142 Wilson St W Unit 9,Ontario
Phoenix Cannabis,Kitchener,90 Queen St S,Ontario
The Hunny Pot Cannabis Co. Burlington,Burlington,1505 Guelph Line Unit 3-4,Ontario
Trees Cannabis,Brampton,131 Kennedy Rd N Unit 1,Ontario
Bean Cannabis Shop 160 Waterloo,Thunder Bay,160 Waterloo St N Unit 3,Ontario
Trees Cannabis ,Barrie,201 Cundles Rd E Unit 105A,Ontario
Cosmic Cabbage,London,649 Richmond St,Ontario
J. Supply Co. - Windsor Ouelette,Windsor,545 Ouellette Ave,Ontario
Spiritleaf 2150 Robertson Road,Nepean,2150 Robertson Road Unit B2,Ontario
Trees Cannabis,Scarborough,305 Port Union Rd Unit 1,Ontario
Canna Xo,Niagara Falls,4365 Queen St,Ontario
Plateau,Ottawa,891 Bank St,Ontario
Spiritleaf 238 Carlton Street,Toronto,238 Carlton St,Ontario
